timestamp,sessione_notturna,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese
2026-09-10 00:41:18,2026-09-10,WZZ311,4d24b1,N/D,Sorvolo,N/D,6873,68.29,14.81,Malta
2026-09-10 23:01:20,2026-09-10,AEE5IN,46b831,N/D,Transito,N/D,6202,107.66,20.68,Greece
2026-09-10 23:01:20,2026-09-10,FIN7052,461f9c,RWY 10,Avvicinamento,Ovest -> Est,3558,70.52,5.81,Finland
2026-09-10 23:01:20,2026-09-10,RYR9Z,48c1a6,N/D,Sorvolo,N/D,845,284.83,13.67,Poland
2026-09-10 23:01:20,2026-09-10,BCS7515,440bbe,N/D,Sorvolo,N/D,8275,292.9,11.33,Austria
2026-09-10 23:01:20,2026-09-10,RYR58MU,4cadf5,N/D,Sorvolo,N/D,1790,166.09,11.88,Ireland
2026-09-10 23:01:20,2026-09-10,RYR372Y,4d21ea,RWY 28,Atterraggio,Est -> Ovest,228,285.08,1.91,Malta
2026-09-10 23:01:34,2026-09-10,AEE5IN,46b831,N/D,Sorvolo,N/D,6309,107.67,19.07,Greece
2026-09-10 23:01:34,2026-09-10,FIN7052,461f9c,RWY 10,Avvicinamento,Ovest -> Est,3718,70.58,4.16,Finland
2026-09-10 23:01:34,2026-09-10,RYR9Z,48c1a6,N/D,Sorvolo,N/D,807,285.0,12.78,Poland
2026-09-10 23:01:34,2026-09-10,BCS7515,440bbe,N/D,Sorvolo,N/D,8397,292.79,13.14,Austria
2026-09-10 23:01:34,2026-09-10,RYR58MU,4cadf5,N/D,Sorvolo,N/D,1935,142.08,12.31,Ireland
2026-09-10 23:03:21,2026-09-10,AEE5IN,46b831,N/D,Sorvolo,N/D,7269,107.94,15.88,Greece
2026-09-10 23:03:21,2026-09-10,FIN7052,461f9c,N/D,Sorvolo,N/D,5044,70.98,17.15,Finland
2026-09-10 23:03:21,2026-09-10,RYR9Z,48c1a6,RWY 28,Atterraggio,Est -> Ovest,312,284.78,3.58,Poland
2026-09-10 23:03:21,2026-09-10,RYR58MU,4cadf5,N/D,Sorvolo,N/D,3215,79.29,10.05,Ireland
2026-09-10 23:03:36,2026-09-10,AEE5IN,46b831,N/D,Sorvolo,N/D,7360,107.85,17.18,Greece
2026-09-10 23:03:36,2026-09-10,FIN7052,461f9c,N/D,Sorvolo,N/D,5189,70.89,19.25,Finland
2026-09-10 23:03:36,2026-09-10,RYR9Z,48c1a6,RWY 28,Atterraggio,Est -> Ovest,274,284.78,2.74,Poland
2026-09-10 23:03:36,2026-09-10,RYR23BM,4cafd3,N/D,Transito,N/D,6530,114.42,25.56,Ireland
2026-09-10 23:03:36,2026-09-10,RYR58MU,4cadf5,N/D,Sorvolo,N/D,3268,79.29,10.97,Ireland
2026-09-10 23:05:22,2026-09-10,RYR9Z,48c1a6,RWY 28,Atterraggio,Est -> Ovest,236,284.78,2.02,Poland
2026-09-10 23:05:37,2026-09-10,RYR9Z,48c1a6,RWY 28,Atterraggio,Est -> Ovest,236,284.78,2.02,Poland
2026-09-10 23:07:23,2026-09-10,RYR9Z,48c1a6,RWY 28,Atterraggio,Est -> Ovest,236,284.78,2.02,Poland
2026-09-10 23:07:38,2026-09-10,RYR9Z,48c1a6,RWY 28,Atterraggio,Est -> Ovest,236,284.78,2.02,Poland
2026-09-10 23:07:38,2026-09-10,UNKNOWN,45cf24,RWY 10,Decollo,Ovest -> Est,632,104.2,2.35,Denmark
2026-09-10 23:09:24,2026-09-10,SRR6401,45cf24,N/D,Avvicinamento,Rotta 232.7°,1821,232.7,9.5,Denmark
2026-09-10 23:09:39,2026-09-10,SRR6401,45cf24,N/D,Avvicinamento,Rotta 231.8°,2148,231.75,9.91,Denmark
2026-09-10 23:11:25,2026-09-10,SRR6401,45cf24,N/D,Avvicinamento,Rotta 1.5°,3710,1.47,3.14,Denmark
2026-09-10 23:11:25,2026-09-10,BCS9LE,440bce,N/D,Transito,N/D,10972,35.93,20.08,Austria
2026-09-10 23:11:25,2026-09-10,RYR45MZ,4cade3,RWY 10,Decollo,Ovest -> Est,708,105.23,4.89,Ireland
2026-09-10 23:11:25,2026-09-10,RYR33PK,4d227c,N/D,Sorvolo,N/D,10660,238.83,16.72,Malta
2026-09-10 23:11:40,2026-09-10,SRR6401,45cf24,N/D,Avvicinamento,Rotta 1.8°,3810,1.77,2.92,Denmark
2026-09-10 23:11:40,2026-09-10,BCS9LE,440bce,N/D,Sorvolo,N/D,10972,36.17,19.04,Austria
2026-09-10 23:11:40,2026-09-10,RYR45MZ,4cade3,RWY 10,Avvicinamento,Ovest -> Est,746,117.38,5.72,Ireland
2026-09-10 23:11:40,2026-09-10,RYR33PK,4d227c,N/D,Sorvolo,N/D,10660,238.65,14.99,Malta
2026-09-10 23:13:26,2026-09-10,RYR8383,4d251d,N/D,Avvicinamento,Rotta 133.6°,1013,133.6,6.36,Malta
2026-09-10 23:13:26,2026-09-10,RYR45MZ,4cade3,N/D,Sorvolo,N/D,2042,133.63,12.76,Ireland
2026-09-10 23:13:26,2026-09-10,RYR33PK,4d227c,N/D,Sorvolo,N/D,10660,222.13,12.52,Malta
2026-09-10 23:13:41,2026-09-10,RYR8383,4d251d,N/D,Avvicinamento,Rotta 191.9°,1264,191.92,7.98,Malta
2026-09-10 23:13:41,2026-09-10,RYR45MZ,4cade3,N/D,Sorvolo,N/D,2346,132.15,15.11,Ireland
2026-09-10 23:13:41,2026-09-10,RYR33PK,4d227c,N/D,Sorvolo,N/D,10660,222.51,16.55,Malta
