timestamp,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,sessione_notturna
2026-09-18 23:01:06,WZZ6255,471d72,RWY 28,Atterraggio,Est -> Ovest,213,285.07,1.91,Hungary,2026-09-18
2026-09-18 23:03:07,SRR6401,45cf24,RWY 34,Avvicinamento,Sud -> Nord,4709,353.17,8.55,Denmark,2026-09-18
2026-09-18 23:09:13,RYR96XP,4cae59,RWY 28,Atterraggio,Est -> Ovest,213,285.03,1.87,Ireland,2026-09-18
2026-09-18 23:13:15,RYR4BN,4cae65,RWY 10,Decollo,Ovest -> Est,419,104.55,2.55,Ireland,2026-09-18
2026-09-18 23:15:16,RYR63AB,4ca853,RWY 10,Decollo,Ovest -> Est,708,106.44,4.51,Ireland,2026-09-18
2026-09-18 23:17:17,RYR9408,4d23fa,RWY 10,Decollo,Ovest -> Est,655,104.45,3.95,Malta,2026-09-18
2026-09-18 23:19:18,RYR19PR,4d23f9,N/D,Sorvolo,N/D,5303,120.75,3.43,Malta,2026-09-18
2026-09-18 23:21:19,RYR5984,4ca2c1,N/D,Avvicinamento,Rotta 195.5°,1066,195.51,8.47,Ireland,2026-09-18
2026-09-18 23:23:20,RYR3WU,4cae54,N/D,Sorvolo,N/D,11277,224.91,4.71,Ireland,2026-09-18
2026-09-18 23:23:20,BCS4285,4caed4,N/D,Sorvolo,N/D,5135,230.72,13.49,Ireland,2026-09-18
2026-09-18 23:25:21,THY6AM,4baa89,N/D,Sorvolo,N/D,5372,271.66,2.73,Turkey,2026-09-18
2026-09-18 23:37:29,EFW83SY,400b00,N/D,Sorvolo,N/D,10370,312.8,6.67,United Kingdom,2026-09-18
2026-09-18 23:39:30,MAC455,02019d,RWY 28,Atterraggio,Est -> Ovest,205,284.83,1.87,Morocco,2026-09-18
2026-09-18 23:39:30,RYR86JJ,4d222b,RWY 28,Atterraggio,Est -> Ovest,205,284.91,1.92,Malta,2026-09-18
2026-09-18 23:43:32,RYR91EJ,4cade5,RWY 28,Atterraggio,Est -> Ovest,198,284.62,1.84,Ireland,2026-09-18
2026-09-18 23:43:32,RYR50ZM,4ca804,RWY 28,Atterraggio,Est -> Ovest,198,284.93,1.86,Ireland,2026-09-18
2026-09-18 23:45:33,RYR3L,4caea0,RWY 28,Atterraggio,Est -> Ovest,205,284.69,1.84,Ireland,2026-09-18
2026-09-18 23:53:37,RYR7CE,4caa5a,RWY 28,Atterraggio,Est -> Ovest,198,284.6,1.85,Ireland,2026-09-18
2026-09-18 23:53:37,RYR1KW,4cae9d,N/D,Avvicinamento,Rotta 234.6°,1493,234.64,8.85,Ireland,2026-09-18
2026-09-18 23:53:37,RYR899T,4d22ca,RWY 10,Decollo,Ovest -> Est,541,104.12,2.98,Malta,2026-09-18
2026-09-18 23:55:38,WMT307,471faa,RWY 10,Avvicinamento,Ovest -> Est,891,107.91,5.04,Hungary,2026-09-18
2026-09-18 23:57:39,WMT994,4d2049,N/D,Avvicinamento,Rotta 143.3°,868,143.33,6.93,Malta,2026-09-18
2026-09-18 23:57:39,CSH872,78160e,N/D,Sorvolo,N/D,10972,39.76,13.21,China,2026-09-18
2026-09-19 00:01:41,RYR7HH,48c127,N/D,Avvicinamento,Rotta 202.5°,982,202.49,8.25,Poland,2026-09-18
2026-09-19 00:03:42,RYR79WD,48c134,N/D,Avvicinamento,Rotta 237.4°,1508,237.38,8.12,Poland,2026-09-18
2026-09-19 00:13:51,BCS947,451dbd,RWY 28,Avvicinamento,Est -> Ovest,4632,270.15,4.13,Bulgaria,2026-09-18
2026-09-19 00:15:52,RYR30DK,48c2ae,RWY 28,Atterraggio,Est -> Ovest,198,284.88,1.89,Poland,2026-09-18
2026-09-19 00:15:52,RYR9AZ,4d2350,RWY 28,Atterraggio,Est -> Ovest,198,284.69,1.87,Malta,2026-09-18
2026-09-19 00:19:54,RYR765L,4ca245,RWY 28,Atterraggio,Est -> Ovest,198,284.8,1.88,Ireland,2026-09-18
2026-09-19 00:21:55,RYR8ZZ,4ca64e,RWY 28,Atterraggio,Est -> Ovest,198,285.05,1.85,Ireland,2026-09-18
2026-09-19 00:23:56,WMT1YY,4d247b,RWY 16,Avvicinamento,Nord -> Sud,1242,184.16,6.76,Malta,2026-09-18
2026-09-19 00:25:57,NIA222,0102b4,N/D,Avvicinamento,Rotta 225.2°,1371,225.2,7.01,Egypt,2026-09-18
2026-09-19 00:25:57,WMT3YZ,4d2425,N/D,Sorvolo,N/D,6537,270.0,2.31,Malta,2026-09-18
2026-09-19 00:34:01,ABR177,4caca2,N/D,Sorvolo,N/D,5570,313.69,6.77,Ireland,2026-09-18
2026-09-19 00:34:01,TVS4106,49d41e,N/D,Sorvolo,N/D,10972,39.62,10.13,Czech Republic,2026-09-18
2026-09-19 00:36:02,BCS137,440bc2,N/D,Sorvolo,N/D,7193,65.91,5.94,Austria,2026-09-18
2026-09-19 00:42:05,RYR91SU,4cae99,RWY 28,Atterraggio,Est -> Ovest,198,285.12,1.86,Ireland,2026-09-18
2026-09-19 00:44:06,RYR52TC,4ca701,RWY 28,Atterraggio,Est -> Ovest,198,284.6,1.85,Ireland,2026-09-18
2026-09-19 00:52:10,RYR13PK,4d2385,RWY 28,Atterraggio,Est -> Ovest,198,284.51,1.83,Malta,2026-09-18
2026-09-19 00:52:10,RYR56VF,4ca256,RWY 28,Atterraggio,Est -> Ovest,198,285.19,1.92,Ireland,2026-09-18
2026-09-19 00:56:12,RYR4HB,4ca4ec,RWY 28,Atterraggio,Est -> Ovest,198,284.96,1.92,Ireland,2026-09-18
2026-09-19 00:58:13,THY6427,4bb14c,N/D,Sorvolo,N/D,5821,270.37,9.25,Turkey,2026-09-18
2026-09-19 01:04:17,RYR2PG,48e9f1,RWY 28,Atterraggio,Est -> Ovest,198,284.88,1.89,Poland,2026-09-18
2026-09-19 01:06:18,RYR7RD,4d2237,RWY 28,Atterraggio,Est -> Ovest,198,285.08,1.91,Malta,2026-09-18
2026-09-19 01:06:18,BCS850,3c70b5,N/D,Sorvolo,N/D,7208,66.58,3.98,Germany,2026-09-18
2026-09-19 01:12:21,MASBA,424c9d,RWY 10,Decollo,Ovest -> Est,807,104.91,2.9,United Kingdom,2026-09-18
2026-09-19 01:12:21,RYR6969,4d236a,N/D,Avvicinamento,Rotta 222.6°,1394,222.62,7.93,Malta,2026-09-18
2026-09-19 01:16:23,LSI220,300a5c,N/D,Sorvolo,N/D,5433,272.26,3.14,Italy,2026-09-18
2026-09-19 01:16:23,RYR84RP,4cae6b,RWY 16,Avvicinamento,Nord -> Sud,4556,178.71,1.58,Ireland,2026-09-18
