flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 4706,Decollo,19:50,21:22,CAGLIARI19:50 | 21:22Decollato,Decollato,2026-07-07 23:00:00
FR 3530,Decollo,20:00,21:57,PRAGUE20:00 | 21:57Decollato,Decollato,2026-07-07 23:00:00
FR 4631,Decollo,20:25,21:10,VALENCIA20:25 | 21:10Decollato,Decollato,2026-07-07 23:00:00
W6 1434,Decollo,20:40,21:08,WARSAW20:40 | 21:08Decollato,Decollato,2026-07-07 23:00:00
FR 8349,Decollo,20:45,21:05,TIRANA20:45 | 21:05Decollato,Decollato,2026-07-07 23:00:00
W6 4774,Decollo,20:45,21:05,SKOPJE20:45 | 21:05Decollato,Decollato,2026-07-07 23:00:00
FR 4132,Decollo,20:55,21:35,BARI20:55 | 21:35Decollato,Decollato,2026-07-07 23:00:00
FR 4042,Decollo,21:05,23:05,PORTO21:05 | 23:05Imbarco ultima chiamata,Imbarco ultima chiamata,2026-07-07 23:00:00
FR 4650,Decollo,21:10,21:47,TRAPANI21:10 | 21:47Decollato,Decollato,2026-07-07 23:00:00
FR 3319,Decollo,21:15,22:29,BARCELONA EL PRAT21:15 | 22:29Decollato,Decollato,2026-07-07 23:00:00
FR 2679,Decollo,21:20,21:20,BERLIN21:20 | 21:20Decollato,Decollato,2026-07-07 23:00:00
FR 219,Decollo,21:25,23:00,ALICANTE21:25 | 23:00Imbarco chiuso,Imbarco chiuso,2026-07-07 23:00:00
FR 7361,Decollo,21:30,21:55,VIENNA21:30 | 21:55Decollato,Decollato,2026-07-07 23:00:00
FR 6513,Decollo,21:35,22:21,OLBIA21:35 | 22:21Decollato,Decollato,2026-07-07 23:00:00
W4 3136,Decollo,21:45,23:00,BUCHAREST BANEASA21:45 | 23:00Imbarco chiuso,Imbarco chiuso,2026-07-07 23:00:00
W4 5020,Decollo,21:45,22:30,TIRANA21:45 | 22:30Decollato,Decollato,2026-07-07 23:00:00
FR 5102,Decollo,21:50,23:00,BIRMINGHAM21:50 | 23:00Imbarco ultima chiamata,Imbarco ultima chiamata,2026-07-07 23:00:00
FR 5655,Decollo,22:05,22:51,PALMA DE MALLORCA22:05 | 22:51Decollato,Decollato,2026-07-07 23:00:00
W6 4508,Decollo,22:10,22:10,VARNA22:10 | 22:10Decollato,Decollato,2026-07-07 23:00:00
FR 2990,Decollo,22:15,22:15,COPENHAGEN22:15 | 22:15Decollato,Decollato,2026-07-07 23:00:00
FR 3280,Decollo,22:45,22:45,GDANSK - DANZICA22:45 | 22:45Decollato,Decollato,2026-07-07 23:00:00
FR 3673,Decollo,22:45,22:45,LONDON  STANSTED22:45 | 22:45Imbarco chiuso,Imbarco chiuso,2026-07-07 23:00:00
G9 696,Decollo,22:50,22:50,SHARJAH22:50 | 22:50Imbarco chiuso,Imbarco chiuso,2026-07-07 23:00:00
FR 1703,Decollo,23:05,23:05,NOTTINGHAM EAST MIDLANDS23:05 | 23:05Imbarco chiuso,Imbarco chiuso,2026-07-07 23:00:00
FR 3413,Decollo,23:10,23:10,KATOWICE23:10 | 23:10Imbarco chiuso,Imbarco chiuso,2026-07-07 23:00:00
FR 6054,Decollo,23:20,00:20,ZAGREB23:20 | 00:20In ritardo,In ritardo,2026-07-07 23:00:00
FR 847,Decollo,23:30,00:52,BARCELONA EL PRAT23:30 | 00:52In ritardo,In ritardo,2026-07-07 23:00:00
BZ 151,Decollo,23:55,23:55,TEL AVIV23:55 | 23:55,nan,2026-07-07 23:00:00
FR 6178,Decollo,05:45,05:45,FUERTEVENTURA05:45 | 05:45,nan,2026-07-07 23:00:00
FR 2830,Decollo,05:45,05:45,TENERIFE05:45 | 05:45,nan,2026-07-07 23:00:00
FR 3659,Decollo,05:45,05:45,BRUXELLES CHARLEROI05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-07-07 23:00:00
FR 2261,Decollo,05:50,05:50,CATANIA05:50 | 05:50,nan,2026-07-07 23:00:00
FR 3402,Decollo,05:50,05:50,MARRAKECH05:50 | 05:50Operato da Malta Air,Operato da Malta Air,2026-07-07 23:00:00
FR 3200,Decollo,05:55,05:55,CAGLIARI05:55 | 05:55Operato da Malta Air,Operato da Malta Air,2026-07-07 23:00:00
FR 2669,Decollo,05:55,05:55,BERLIN05:55 | 05:55,nan,2026-07-07 23:00:00
FR 3528,Decollo,06:00,06:00,PRAGUE06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-07-07 23:00:00
FR 3273,Decollo,06:00,06:00,AGADIR06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-07-07 23:00:00
