callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,stato_destinazione,scan_timestamp
FR 6149,D,PALERMO,08:10,09:35,IMBARCO CHIUSO,Estero/Italia,2026-08-28 09:31:35
W6 1432,D,WARSAW,08:40,09:58,IMBARCO IN CORSO,Estero/Italia,2026-08-28 09:31:35
FR 1784,D,COPENHAGEN,09:05,09:05,DECOLLATO,Estero/Italia,2026-08-28 09:31:35
BQ 1989,D,MOSTAR,09:10,09:10,DECOLLATO,Estero/Italia,2026-08-28 09:31:35
FR 4402,D,ZAKINTHOS,09:25,09:25,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 09:31:35
FR 2864,D,BRINDISI,09:35,10:35,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 8044,D,BRUXELLES CHARLEROI,09:50,09:50,IMBARCO IN CORSO,Estero/Italia,2026-08-28 09:31:35
FR 888,D,KRAKOW,09:55,09:55,IMBARCO IN CORSO,Estero/Italia,2026-08-28 09:31:35
FR 3502,D,ZARAGOZA,10:05,10:05,IMBARCO IN CORSO,Estero/Italia,2026-08-28 09:31:35
FR 6860,D,OSLO TORP,10:05,10:05,IMBARCO IN CORSO,Estero/Italia,2026-08-28 09:31:35
FR 410,D,LUXEMBOURG,10:10,10:10,Operativo,Estero/Italia,2026-08-28 09:31:35
D8 3751,D,COPENHAGEN,10:10,10:29,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 4037,D,DUBLIN,10:25,11:10,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 2878,D,STOCKHOLM,10:30,10:30,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 4132,D,BARI,10:40,10:40,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
FR 3319,D,BARCELONA EL PRAT,10:45,10:45,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
FR 3217,D,MANCHESTER,10:45,11:32,IN RIT,Estero/Italia,2026-08-28 09:31:35
3O 452,D,CASABLANCA,10:50,10:50,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 5102,D,BIRMINGHAM,11:00,11:00,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
NO 5680,D,KARPATHOS,11:00,11:00,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 497,D,VALENCIA,11:05,11:45,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 2669,D,BERLIN,11:10,11:10,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 9890,D,LODZ,11:15,11:15,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 3645,D,EDINBURGH,11:15,12:07,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 8334,D,IBIZA,11:20,11:20,Operativo,Estero/Italia,2026-08-28 09:31:35
XC 9428,D,ANKARA,11:30,11:30,Operativo,Estero/Italia,2026-08-28 09:31:35
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,Operativo,Estero/Italia,2026-08-28 09:31:35
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 2254,D,ALGHERO,11:55,11:55,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 4786,D,SALERNO,12:00,12:00,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 2649,D,MALAGA,12:00,12:25,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 4042,D,PORTO,12:20,12:20,Operativo,Estero/Italia,2026-08-28 09:31:35
E5 543,D,CAIRO,12:20,12:20,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 9429,D,DUBLIN,12:25,12:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
FR 4196,D,CORFU,12:40,12:40,Operativo,Estero/Italia,2026-08-28 09:31:35
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 4400,D,HERAKLION,12:55,12:55,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 4201,D,RHODES,12:55,12:55,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 5531,D,COLOGNE,13:15,13:15,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
FR 2289,D,PALERMO,13:20,13:20,Operativo,Estero/Italia,2026-08-28 09:31:35
G9 794,D,SHARJAH,13:20,14:25,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 3142,D,BARCELONA EL PRAT,13:25,13:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
FR 3440,D,LAMEZIA,13:30,13:30,Operativo,Estero/Italia,2026-08-28 09:31:35
F3 820,D,JEDDAH,13:40,13:40,Operativo,Estero/Italia,2026-08-28 09:31:35
EK 2141,D,DUBAI,13:40,13:40,Operativo,Estero/Italia,2026-08-28 09:31:35
FZ 1574,D,DUBAI,13:40,13:40,Operativo,Estero/Italia,2026-08-28 09:31:35
V7 1316,D,OLBIA,13:50,13:50,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 5999,D,ZAGREB,14:00,14:00,OPERATO DA LAUDA EUROPE,Estero/Italia,2026-08-28 09:31:35
FR 2876,D,BRINDISI,14:10,14:45,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
FR 7976,D,KOS,14:15,14:15,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 8800,D,IBIZA,14:15,14:15,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 4111,D,NAPOLI,14:15,14:15,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 3200,D,CAGLIARI,14:40,14:40,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
FR 4698,D,TRAPANI,14:55,14:55,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
FR 3659,D,BRUXELLES CHARLEROI,14:55,14:55,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 09:31:35
A9 732,D,TBILISI,14:55,14:55,Operativo,Estero/Italia,2026-08-28 09:31:35
W4 3772,D,CRAIOVA,14:55,15:25,IN RITARDO,Estero/Italia,2026-08-28 09:31:35
MT 1240,D,PORTO SANTO,15:00,15:00,Operativo,Estero/Italia,2026-08-28 09:31:35
FR 1903,D,VARSAVIA MODLIN,15:05,15:05,OPERATO DA BUZZ,Estero/Italia,2026-08-28 09:31:35
