callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
3O 452,D,CASABLANCA,10:50,11:44,DECOLLATO,2026-09-18 12:00:25
FR 497,D,VALENCIA,11:05,12:15,IMBARCO CHIUSO,2026-09-18 12:00:25
FR 9890,D,LODZ,11:15,11:36,DECOLLATO,2026-09-18 12:00:25
FR 3645,D,EDINBURGH,11:15,11:50,DECOLLATO,2026-09-18 12:00:25
PC 1212,D,ISTANBUL S. GOKCEN,11:45,12:10,IMBARCO CHIUSO,2026-09-18 12:00:25
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,12:10,IMBARCO CHIUSO,2026-09-18 12:00:25
FR 2254,D,ALGHERO,11:55,12:25,IMBARCO IN CORSO,2026-09-18 12:00:25
FR 2649,D,MALAGA,12:00,12:00,IMBARCO IN CORSO,2026-09-18 12:00:25
FR 4786,D,SALERNO,12:00,12:00,IMBARCO IN CORSO,2026-09-18 12:00:25
FR 4042,D,PORTO,12:20,12:20,IMBARCO IN CORSO,2026-09-18 12:00:25
E5 543,D,CAIRO,12:20,12:20,IMBARCO CHIUSO,2026-09-18 12:00:25
FR 9429,D,DUBLIN,12:25,12:25,IMBARCO IN CORSO,2026-09-18 12:00:25
FR 4196,D,CORFU,12:40,12:40,IMBARCO IN CORSO,2026-09-18 12:00:25
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,2026-09-18 12:00:25
FR 4400,D,HERAKLION,12:55,12:55,Operativo,2026-09-18 12:00:25
FR 4201,D,RHODES,12:55,13:13,IN RITARDO,2026-09-18 12:00:25
FR 5531,D,COLOGNE,13:15,13:15,Operativo,2026-09-18 12:00:25
FR 2289,D,PALERMO,13:20,14:30,IN RITARDO,2026-09-18 12:00:25
G9 794,D,SHARJAH,13:20,13:20,Operativo,2026-09-18 12:00:25
FR 3142,D,BARCELONA EL PRAT,13:25,14:10,IN RITARDO,2026-09-18 12:00:25
FR 3440,D,LAMEZIA,13:30,13:30,OPERATO DA MALTA AIR,2026-09-18 12:00:25
FZ 1574,D,DUBAI,13:40,13:40,Operativo,2026-09-18 12:00:25
EK 2141,D,DUBAI,13:40,13:40,Operativo,2026-09-18 12:00:25
FR 5999,D,ZAGREB,14:00,14:00,OPERATO DA LAUDA EUROPE,2026-09-18 12:00:25
V7 1316,D,OLBIA,14:10,14:10,Operativo,2026-09-18 12:00:25
FR 2876,D,BRINDISI,14:10,14:10,Operativo,2026-09-18 12:00:25
FR 8800,D,IBIZA,14:15,14:15,Operativo,2026-09-18 12:00:25
FR 1903,D,VARSAVIA MODLIN,14:15,14:15,OPERATO DA BUZZ,2026-09-18 12:00:25
FR 7976,D,KOS,14:15,14:15,OPERATO DA MALTA AIR,2026-09-18 12:00:25
FR 4111,D,NAPOLI,14:15,14:15,OPERATO DA MALTA AIR,2026-09-18 12:00:25
FR 3200,D,CAGLIARI,14:40,14:40,Operativo,2026-09-18 12:00:25
W4 3772,D,CRAIOVA,14:55,14:55,Operativo,2026-09-18 12:00:25
A9 732,D,TBILISI,14:55,14:55,Operativo,2026-09-18 12:00:25
FR 4698,D,TRAPANI,14:55,14:55,Operativo,2026-09-18 12:00:25
FR 3659,D,BRUXELLES CHARLEROI,14:55,14:55,OPERATO DA MALTA AIR,2026-09-18 12:00:25
FR 2888,D,CATANIA,15:05,15:05,Operativo,2026-09-18 12:00:25
FR 3398,D,MALAGA,15:10,15:10,Operativo,2026-09-18 12:00:25
FR 5120,D,MADRID,15:20,15:20,Operativo,2026-09-18 12:00:25
FR 6501,D,OLBIA,15:35,15:35,Operativo,2026-09-18 12:00:25
FR 3673,D,LONDON STANSTED,15:40,15:40,OPERATO DA MALTA AIR,2026-09-18 12:00:25
FR 6086,D,KALAMATA,15:40,15:40,OPERATO DA MALTA AIR,2026-09-18 12:00:25
