numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
BZ 151,Decollo,19:10,22:20,TEL AVIV,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 22:12:28
FR 484,Decollo,21:20,21:45,DUSSELDORF - WEEZE,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
FR 3219,Decollo,21:30,22:24,MANCHESTER,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 22:12:28
FR 3341,Decollo,21:30,22:17,VARSAVIA MODLIN,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
FR 7324,Decollo,21:35,22:02,MALTA,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
W4 3136,Decollo,21:45,22:04,BUCHAREST OTOPENI,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
FR 4132,Decollo,21:45,22:59,BARI,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
W4 5020,Decollo,21:45,22:18,TIRANA,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
E5 545,Decollo,22:00,22:20,CAIRO,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
FR 6501,Decollo,22:10,23:11,OLBIA,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
FR 2992,Decollo,22:15,22:15,COPENHAGEN,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
FR 5148,Decollo,22:20,22:20,ZADAR,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
W4 3552,Decollo,22:20,22:40,TIMISOARA,Estero/Italia,IMBARCO IN CORSO,2026-08-26 22:12:28
FR 2293,Decollo,22:25,22:59,PESCARA,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
FR 7361,Decollo,22:25,23:15,VIENNA,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
FR 9196,Decollo,22:35,22:35,TRAPANI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 22:12:28
FR 4188,Decollo,22:40,22:40,LONDON STANSTED,Estero/Italia,IMBARCO IN CORSO,2026-08-26 22:12:28
FZ 1572,Decollo,23:25,23:25,DUBAI,Estero/Italia,Operativo,2026-08-26 22:12:28
EK 2415,Decollo,23:25,23:25,DUBAI,Estero/Italia,Operativo,2026-08-26 22:12:28
W6 4124,Decollo,23:35,23:54,BELGRADE,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-26 22:12:28
FR 6846,Decollo,23:40,23:40,LIVERPOOL,Estero/Italia,Operativo,2026-08-26 22:12:28
