timestamp,sessione_notturna,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese
2026-09-12 23:07:30,2026-09-12,ETD2NP,8964be,N/D,Sorvolo,N/D,11269,133.18,9.39,United Arab Emirates
2026-09-12 23:07:30,2026-09-12,RYR55WG,48c135,RWY 10,Decollo,Ovest -> Est,662,105.36,4.92,Poland
2026-09-12 23:09:31,2026-09-12,MSC832,010259,RWY 10,Avvicinamento,Ovest -> Est,708,109.32,5.11,Egypt
2026-09-12 23:09:31,2026-09-12,RYR753C,48c22f,N/D,Sorvolo,N/D,10972,39.88,13.27,Poland
2026-09-12 23:13:33,2026-09-12,VOE720S,346649,RWY 10,Decollo,Ovest -> Est,1089,104.53,4.84,Spain
2026-09-12 23:19:36,2026-09-12,ABY696,89671d,N/D,Avvicinamento,Rotta 233.3°,1722,233.27,9.75,United Arab Emirates
2026-09-12 23:19:36,2026-09-12,RYR58MU,48c1a5,RWY 10,Avvicinamento,Ovest -> Est,4282,72.71,2.94,Poland
2026-09-12 23:27:40,2026-09-12,RYR41CG,4ca73b,N/D,Decollo,Rotta 120.9°,2042,120.86,1.05,Ireland
2026-09-12 23:29:41,2026-09-12,RYR69LP,4ca304,N/D,Sorvolo,N/D,7620,222.96,7.54,Ireland
2026-09-12 23:29:41,2026-09-12,VOE56DL,3481c4,N/D,Sorvolo,N/D,5516,101.65,5.35,Spain
2026-09-12 23:29:41,2026-09-12,RYR1WF,4caf29,RWY 28,Atterraggio,Est -> Ovest,167,285.1,1.94,Ireland
2026-09-12 23:29:41,2026-09-12,QNT415,507cb9,N/D,Sorvolo,N/D,5981,254.76,14.39,Uzbekistan
2026-09-12 23:31:42,2026-09-12,RYR1JK,4cae65,RWY 28,Atterraggio,Est -> Ovest,167,285.15,1.91,Ireland
2026-09-12 23:37:45,2026-09-12,BCS80A,3c1bb1,N/D,Sorvolo,N/D,7010,87.56,12.27,Germany
2026-09-12 23:41:47,2026-09-12,RYR9MV,4ca805,RWY 28,Atterraggio,Est -> Ovest,160,285.15,1.87,Ireland
2026-09-12 23:43:48,2026-09-12,RYR7HH,4d2449,RWY 10,Avvicinamento,Ovest -> Est,685,109.55,5.32,Malta
2026-09-12 23:45:49,2026-09-12,RYR86CZ,4d22bd,N/D,Avvicinamento,Rotta 150.0°,861,149.97,7.09,Malta
2026-09-12 23:53:54,2026-09-12,RYR2DL,48c2b7,N/D,Avvicinamento,Rotta 60.3°,4533,60.26,6.24,Poland
2026-09-12 23:53:54,2026-09-12,LSI156,300a5c,N/D,Sorvolo,N/D,5631,270.31,4.5,Italy
2026-09-13 00:01:58,2026-09-12,MMO3144,501c39,RWY 28,Atterraggio,Est -> Ovest,175,284.98,1.94,Croatia
2026-09-13 00:03:59,2026-09-12,LAV3224,346317,RWY 28,Atterraggio,Est -> Ovest,167,284.86,1.92,Spain
2026-09-13 00:03:59,2026-09-12,RYR7UX,4d2369,RWY 28,Atterraggio,Est -> Ovest,167,285.36,1.85,Malta
2026-09-13 00:08:01,2026-09-12,WMT994,471efc,RWY 10,Decollo,Ovest -> Est,525,105.26,2.39,Hungary
2026-09-13 00:14:04,2026-09-12,NIA322,70e083,N/D,Avvicinamento,Rotta 223.6°,1310,223.63,8.66,Cambodia
2026-09-13 00:20:08,2026-09-12,TVS2TU,49d357,N/D,Sorvolo,N/D,10972,44.71,9.75,Czech Republic
2026-09-13 00:22:09,2026-09-12,RYR13GV,4ca624,N/D,Sorvolo,N/D,6118,258.54,6.62,Ireland
2026-09-13 00:26:11,2026-09-12,LWG5330,4d20db,RWY 28,Atterraggio,Est -> Ovest,175,285.22,1.9,Malta
2026-09-13 00:28:12,2026-09-12,EZY34FE,407796,N/D,Sorvolo,N/D,10972,323.73,10.96,United Kingdom
2026-09-13 00:30:13,2026-09-12,RYR87RR,4cae6c,RWY 28,Atterraggio,Est -> Ovest,167,284.98,1.85,Ireland
2026-09-13 00:38:17,2026-09-12,RYR2PG,4d21ea,RWY 28,Atterraggio,Est -> Ovest,160,285.08,1.88,Malta
2026-09-13 00:44:20,2026-09-12,RYR5935,4ca857,RWY 28,Atterraggio,Est -> Ovest,167,284.98,1.8,Ireland
2026-09-13 00:44:20,2026-09-12,VND002J,300a41,N/D,Avvicinamento,Rotta 209.3°,1524,209.27,7.35,Italy
2026-09-13 00:48:22,2026-09-12,AAR581,71c359,N/D,Sorvolo,N/D,5128,269.69,1.92,Republic of Korea
2026-09-13 00:50:23,2026-09-12,WMT952,471f70,N/D,Sorvolo,N/D,5814,270.16,5.92,Hungary
2026-09-13 00:54:25,2026-09-12,RYR765L,4cae52,RWY 28,Atterraggio,Est -> Ovest,160,285.05,1.85,Ireland
2026-09-13 00:54:25,2026-09-12,RYR22ED,4ca75f,RWY 28,Atterraggio,Est -> Ovest,160,285.19,1.83,Ireland
2026-09-13 01:00:28,2026-09-12,RYR52TC,4d2208,RWY 28,Atterraggio,Est -> Ovest,160,285.19,1.85,Malta
2026-09-13 01:18:37,2026-09-12,RYR307R,4cadfd,RWY 28,Atterraggio,Est -> Ovest,160,284.91,1.85,Ireland
2026-09-13 01:20:38,2026-09-12,RYR7RD,4cae99,RWY 28,Atterraggio,Est -> Ovest,160,285.26,1.87,Ireland
2026-09-13 01:20:38,2026-09-12,RYR90EJ,4d2349,RWY 28,Atterraggio,Est -> Ovest,160,284.96,1.85,Malta
2026-09-13 01:22:39,2026-09-12,RYR4LN,4d2518,RWY 28,Atterraggio,Est -> Ovest,160,285.26,1.85,Malta
2026-09-13 01:24:40,2026-09-12,ICV762,4d010b,RWY 28,Avvicinamento,Est -> Ovest,4701,273.66,6.7,Luxembourg
2026-09-13 01:24:40,2026-09-12,RYR7PV,4ca4ee,RWY 28,Atterraggio,Est -> Ovest,160,284.91,1.87,Ireland
2026-09-13 01:28:42,2026-09-12,RYR451P,4cadf5,RWY 28,Atterraggio,Est -> Ovest,160,285.05,1.84,Ireland
2026-09-13 01:40:49,2026-09-12,RYR13PK,4d22ff,RWY 28,Atterraggio,Est -> Ovest,160,285.05,1.9,Malta
2026-09-13 01:40:49,2026-09-12,RYR13LL,4cae49,RWY 28,Atterraggio,Est -> Ovest,160,285.03,1.86,Ireland
2026-09-13 03:03:33,2026-09-12,MASBA,424c9d,RWY 28,Atterraggio,Est -> Ovest,167,285.15,1.82,United Kingdom
2026-09-13 03:13:38,2026-09-12,RYR8LX,4ca301,RWY 28,Atterraggio,Est -> Ovest,160,285.01,1.86,Ireland
2026-09-13 03:19:42,2026-09-12,EJU65WZ,44083f,N/D,Sorvolo,N/D,6400,279.18,6.83,Austria
2026-09-13 03:41:53,2026-09-12,QTR31T,06a1e7,RWY 28,Avvicinamento,Est -> Ovest,4358,280.23,6.74,Qatar
