timestamp,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,sessione_notturna
2026-09-14 23:01:16,RYR8SL,4ca303,RWY 28,Atterraggio,Est -> Ovest,167,284.88,1.84,Ireland,2026-09-14
2026-09-14 23:01:16,LOT6607,48e958,N/D,Sorvolo,N/D,11277,235.91,12.44,Poland,2026-09-14
2026-09-14 23:01:16,ICV9261,4d010a,N/D,Sorvolo,N/D,5791,98.24,10.12,Luxembourg,2026-09-14
2026-09-14 23:05:19,WMT7491,471efc,RWY 28,Atterraggio,Est -> Ovest,175,284.7,2.05,Hungary,2026-09-14
2026-09-14 23:07:20,RUK25MG,407cb0,RWY 28,Atterraggio,Est -> Ovest,175,285.07,1.93,United Kingdom,2026-09-14
2026-09-14 23:07:20,RYR6LW,4d2248,RWY 28,Avvicinamento,Est -> Ovest,4556,270.31,2.94,Malta,2026-09-14
2026-09-14 23:11:22,RYR42UP,4d23f8,RWY 28,Atterraggio,Est -> Ovest,175,284.7,1.97,Malta,2026-09-14
2026-09-14 23:13:24,THY6AM,4baa4d,N/D,Sorvolo,N/D,5859,270.16,4.86,Turkey,2026-09-14
2026-09-14 23:13:24,RYR69NV,4caf28,RWY 28,Atterraggio,Est -> Ovest,175,284.98,1.91,Ireland,2026-09-14
2026-09-14 23:15:25,WMT5PL,4d242b,N/D,Sorvolo,N/D,6126,233.56,14.23,Malta,2026-09-14
2026-09-14 23:15:25,RYR5AV,4d22be,N/D,Avvicinamento,Rotta 147.0°,876,147.04,7.02,Malta,2026-09-14
2026-09-14 23:19:27,RYR19SV,4ca9d0,N/D,Sorvolo,N/D,11277,238.75,9.12,Ireland,2026-09-14
2026-09-14 23:25:32,RYR1WF,4ca9c3,RWY 28,Atterraggio,Est -> Ovest,175,284.69,1.94,Ireland,2026-09-14
2026-09-14 23:29:35,RYR190,48c2af,RWY 28,Atterraggio,Est -> Ovest,175,285.55,1.88,Poland,2026-09-14
2026-09-14 23:31:36,RYR1KW,4cae54,RWY 10,Decollo,Ovest -> Est,693,105.47,4.57,Ireland,2026-09-14
2026-09-14 23:33:37,BCS943,451dbd,N/D,Sorvolo,N/D,7101,270.4,10.27,Bulgaria,2026-09-14
2026-09-14 23:33:37,EWG28C,4d2405,N/D,Sorvolo,N/D,11582,40.09,10.78,Malta,2026-09-14
2026-09-14 23:35:38,WZZ6579,471d5c,RWY 10,Decollo,Ovest -> Est,548,104.87,3.37,Hungary,2026-09-14
2026-09-14 23:47:52,EWG2EG,4d2413,N/D,Sorvolo,N/D,11582,31.66,14.44,Malta,2026-09-14
2026-09-14 23:51:54,RYR13HB,4cae99,RWY 28,Atterraggio,Est -> Ovest,167,284.52,1.89,Ireland,2026-09-14
2026-09-14 23:59:58,RYR2893,4cae49,RWY 28,Atterraggio,Est -> Ovest,167,284.98,1.77,Ireland,2026-09-14
2026-09-15 00:08:05,RYR7BE,4ca7b3,RWY 28,Atterraggio,Est -> Ovest,167,285.29,1.93,Ireland,2026-09-14
2026-09-15 00:12:07,RYR8LX,4cadc4,RWY 28,Atterraggio,Est -> Ovest,167,285.11,1.94,Ireland,2026-09-14
2026-09-15 00:14:08,UNKNOWN,0102b4,RWY 10,Decollo,Ovest -> Est,335,104.93,1.83,Egypt,2026-09-14
2026-09-15 00:22:14,BCS4HG,3c5423,N/D,Sorvolo,N/D,7879,78.72,10.27,Germany,2026-09-14
2026-09-15 00:26:16,RYR2UJ,4d228f,RWY 28,Atterraggio,Est -> Ovest,167,284.8,1.87,Malta,2026-09-14
2026-09-15 00:26:16,BCS7015,440bca,N/D,Sorvolo,N/D,11079,315.5,3.65,Austria,2026-09-14
2026-09-15 00:28:17,RYR39BB,4ca805,RWY 28,Atterraggio,Est -> Ovest,167,285.19,1.87,Ireland,2026-09-14
2026-09-15 00:30:19,RYR4787,4ca4ee,RWY 28,Atterraggio,Est -> Ovest,167,284.93,1.8,Ireland,2026-09-14
2026-09-15 00:30:19,LSI220,300990,N/D,Sorvolo,N/D,6339,278.13,7.14,Italy,2026-09-14
2026-09-15 00:36:22,WMT3YZ,4d24d4,N/D,Sorvolo,N/D,6027,278.5,3.47,Malta,2026-09-14
2026-09-15 00:42:25,RYR8HM,4cadfd,RWY 28,Atterraggio,Est -> Ovest,167,285.36,1.84,Ireland,2026-09-14
