flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 6125,Decollo,20:55,21:46,DUBLIN20:55 | 21:46Decollato,Decollato,2026-05-25 23:00:00
FR 5108,Decollo,21:00,21:28,LOURDES21:00 | 21:28Decollato,Decollato,2026-05-25 23:00:00
FR 4196,Decollo,21:00,21:00,CORFU21:00 | 21:00Decollato,Decollato,2026-05-25 23:00:00
FR 4523,Decollo,21:10,21:10,BRUXELLES CHARLEROI21:10 | 21:10Decollato,Decollato,2026-05-25 23:00:00
FR 4698,Decollo,21:10,21:10,TRAPANI21:10 | 21:10Decollato,Decollato,2026-05-25 23:00:00
FR 4786,Decollo,21:20,21:20,SALERNO21:20 | 21:20Decollato,Decollato,2026-05-25 23:00:00
FR 3501,Decollo,21:25,21:25,PARIS BEAUVAIS21:25 | 21:25Decollato,Decollato,2026-05-25 23:00:00
FR 3506,Decollo,21:25,22:12,ALICANTE21:25 | 22:12Decollato,Decollato,2026-05-25 23:00:00
FR 5092,Decollo,21:25,22:00,LAMEZIA21:25 | 22:00Decollato,Decollato,2026-05-25 23:00:00
FR 3893,Decollo,21:35,21:35,CAGLIARI21:35 | 21:35Decollato,Decollato,2026-05-25 23:00:00
W4 3830,Decollo,21:45,21:45,SIBIU21:45 | 21:45Decollato,Decollato,2026-05-25 23:00:00
D8 3751,Decollo,21:45,21:45,COPENHAGEN21:45 | 21:45Decollato,Decollato,2026-05-25 23:00:00
FR 2254,Decollo,22:00,22:00,ALGHERO22:00 | 22:00Decollato,Decollato,2026-05-25 23:00:00
E5 545,Decollo,22:00,22:00,CAIRO22:00 | 22:00Decollato,Decollato,2026-05-25 23:00:00
FR 5494,Decollo,22:05,22:05,MADRID22:05 | 22:05Decollato,Decollato,2026-05-25 23:00:00
FR 2107,Decollo,22:15,22:15,BUDAPEST22:15 | 22:15Decollato,Decollato,2026-05-25 23:00:00
W4 3552,Decollo,22:20,22:20,TIMISOARA22:20 | 22:20Decollato,Decollato,2026-05-25 23:00:00
FR 3645,Decollo,22:20,22:20,EDINBURGH22:20 | 22:20Decollato,Decollato,2026-05-25 23:00:00
W4 3136,Decollo,22:35,22:35,BUCHAREST BANEASA22:35 | 22:35Decollato,Decollato,2026-05-25 23:00:00
FR 1853,Decollo,22:40,22:58,MARSEILLE22:40 | 22:58Imbarco chiuso,Imbarco chiuso,2026-05-25 23:00:00
W4 5020,Decollo,22:45,22:45,TIRANA22:45 | 22:45Decollato,Decollato,2026-05-25 23:00:00
FR 3413,Decollo,23:10,23:10,KATOWICE23:10 | 23:10Imbarco chiuso,Imbarco chiuso,2026-05-25 23:00:00
W6 4124,Decollo,23:35,00:10,BELGRADE23:35 | 00:10,nan,2026-05-25 23:00:00
RK 3219,Decollo,23:45,23:45,MANCHESTER23:45 | 23:45,nan,2026-05-25 23:00:00
FR 3398,Decollo,05:45,05:45,MALAGA05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 1853,Decollo,05:45,05:45,MARSEILLE05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 2293,Decollo,05:50,05:50,PESCARA05:50 | 05:50Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 3649,Decollo,05:50,05:50,PAPHOS05:50 | 05:50,nan,2026-05-25 23:00:00
FR 8334,Decollo,05:50,05:50,IBIZA05:50 | 05:50,nan,2026-05-25 23:00:00
FR 2698,Decollo,05:55,05:55,ALGHERO05:55 | 05:55,nan,2026-05-25 23:00:00
FR 3142,Decollo,05:55,05:55,BARCELONA EL PRAT05:55 | 05:55Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 1417,Decollo,05:55,05:55,LAMEZIA05:55 | 05:55,nan,2026-05-25 23:00:00
FR 2878,Decollo,06:00,06:00,STOCKHOLM06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 2261,Decollo,06:00,06:00,CATANIA06:00 | 06:00,nan,2026-05-25 23:00:00
FR 1319,Decollo,06:05,06:05,ATHENS06:05 | 06:05,nan,2026-05-25 23:00:00
FR 3200,Decollo,06:05,06:05,CAGLIARI06:05 | 06:05,nan,2026-05-25 23:00:00
FR 461,Decollo,06:15,06:15,NEWCASTLE06:15 | 06:15,nan,2026-05-25 23:00:00
FR 2285,Decollo,06:30,06:30,NAPOLI06:30 | 06:30Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 2107,Decollo,06:40,06:40,BUDAPEST06:40 | 06:40,nan,2026-05-25 23:00:00
FR 8121,Decollo,06:40,06:40,TIRANA06:40 | 06:40,nan,2026-05-25 23:00:00
FR 2087,Decollo,06:50,06:50,LISBON06:50 | 06:50,nan,2026-05-25 23:00:00
FR 6091,Decollo,07:00,07:00,GRAN CANARIA07:00 | 07:00Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 484,Decollo,07:00,07:00,DUSSELDORF - WEEZE07:00 | 07:00,nan,2026-05-25 23:00:00
FR 497,Decollo,07:05,07:05,VALENCIA07:05 | 07:05Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
FR 3432,Decollo,07:15,07:15,PARIS BEAUVAIS07:15 | 07:15,nan,2026-05-25 23:00:00
FR 2669,Decollo,07:25,07:25,BERLIN07:25 | 07:25Operato da Malta Air,Operato da Malta Air,2026-05-25 23:00:00
W4 3132,Decollo,07:30,07:30,BUCHAREST BANEASA07:30 | 07:30,nan,2026-05-25 23:00:00
FR 4667,Decollo,07:40,07:40,BARI07:40 | 07:40,nan,2026-05-25 23:00:00
FR 1533,Decollo,07:40,07:40,VIENNA07:40 | 07:40Operato da Lauda Europe,Operato da Lauda Europe,2026-05-25 23:00:00
FR 3408,Decollo,07:55,07:55,KATOWICE07:55 | 07:55Operato da BUZZ,Operato da BUZZ,2026-05-25 23:00:00
FR 3593,Decollo,08:00,08:00,POZNAN08:00 | 08:00Operato da BUZZ,Operato da BUZZ,2026-05-25 23:00:00
DN 422,Decollo,08:05,08:05,BACAU08:05 | 08:05,nan,2026-05-25 23:00:00
