numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,status,scan_timestamp
FR 4196,Decollo,09:50,10:58,CORFU,DECOLLATO,2026-08-27 11:07:34
FR 3659,Decollo,09:55,13:05,BRUXELLES CHARLEROI,IN RITARDO,2026-08-27 11:07:34
FR 2087,Decollo,10:45,10:45,LISBON,DECOLLATO,2026-08-27 11:07:34
FR 2649,Decollo,10:50,10:50,MALAGA,IMBARCO CHIUSO,2026-08-27 11:07:34
FR 4201,Decollo,10:50,11:50,RHODES,IN RIT,2026-08-27 11:07:34
3O 458,Decollo,10:50,10:50,CASABLANCA,DECOLLATO,2026-08-27 11:07:34
FR 1417,Decollo,11:15,11:15,LAMEZIA,IMBARCO CHIUSO,2026-08-27 11:07:34
FR 4650,Decollo,11:35,11:35,TRAPANI,IMBARCO IN CORSO,2026-08-27 11:07:34
FR 1784,Decollo,11:35,12:33,COPENHAGEN,IN RITARDO,2026-08-27 11:07:34
FR 4658,Decollo,11:35,11:35,BARI,IMBARCO ULTIMA CHIAMATA,2026-08-27 11:07:34
AZ 7048,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:07:34
FR 7324,Decollo,11:45,11:45,MALTA,Operativo,2026-08-27 11:07:34
PC 1212,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:07:34
FR 6257,Decollo,11:55,12:27,KRAKOW,IN RITARDO,2026-08-27 11:07:34
FR 2872,Decollo,12:05,12:05,VILNIUS,OPERATO DA MALTA AIR,2026-08-27 11:07:34
FR 845,Decollo,12:05,12:05,CLUJ-NAPOCA,OPERATO DA MALTA AIR,2026-08-27 11:07:34
FR 3450,Decollo,12:15,12:15,TANGIER,OPERATO DA MALTA AIR,2026-08-27 11:07:34
FR 2669,Decollo,12:45,12:45,BERLIN,IN RITARDO,2026-08-27 11:07:34
VF 062,Decollo,12:45,12:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:07:34
FR 3142,Decollo,12:55,13:28,BARCELONA EL PRAT,IN RITARDO,2026-08-27 11:07:34
FR 5139,Decollo,12:55,12:55,FARO,Operativo,2026-08-27 11:07:34
D8 3751,Decollo,12:55,12:55,COPENHAGEN,Operativo,2026-08-27 11:07:34
FR 3217,Decollo,13:05,13:35,MANCHESTER,IN RITARDO,2026-08-27 11:07:34
FR 6125,Decollo,13:20,13:40,DUBLIN,IN RITARDO,2026-08-27 11:07:34
FR 2697,Decollo,13:25,13:25,LONDON STANSTED,OPERATO DA MALTA AIR,2026-08-27 11:07:34
W4 3772,Decollo,13:25,14:25,CRAIOVA,IN RITARDO,2026-08-27 11:07:34
FR 2864,Decollo,13:25,13:25,BRINDISI,Operativo,2026-08-27 11:07:34
FR 5531,Decollo,13:30,13:30,COLOGNE,OPERATO DA MALTA AIR,2026-08-27 11:07:34
FZ 1574,Decollo,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 11:07:34
YW 8146,Decollo,13:40,13:40,PALMA DE MALLORCA,Operativo,2026-08-27 11:07:34
EK 2141,Decollo,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 11:07:34
FR 4001,Decollo,13:50,13:50,LANZAROTE,Operativo,2026-08-27 11:07:34
F3 586,Decollo,14:00,14:00,RIYADH,Operativo,2026-08-27 11:07:34
SM 832,Decollo,14:25,14:25,SHARM EL SHEIKH,Operativo,2026-08-27 11:07:34
FR 2254,Decollo,14:25,14:25,ALGHERO,OPERATO DA MALTA AIR,2026-08-27 11:07:34
