callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,stato_destinazione,scan_timestamp
FR 4042,D,PORTO,16:25,18:14,IMBARCO IN CORSO,Estero/Italia,2026-08-27 18:02:53
FR 5108,D,LOURDES,17:05,18:19,IMBARCO IN CORSO,Estero/Italia,2026-08-27 18:02:53
FR 3559,D,BRISTOL,17:15,18:10,IMBARCO CHIUSO,Estero/Italia,2026-08-27 18:02:53
FR 3587,D,OSLO TORP,17:20,18:16,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-27 18:02:53
FR 7976,D,KOS,17:45,18:45,IN RITARDO,Estero/Italia,2026-08-27 18:02:53
FR 8421,D,TIRANA,17:55,17:55,DECOLLATO,Estero/Italia,2026-08-27 18:02:53
FR 3402,D,MARRAKECH,17:55,18:45,IN RITARDO,Estero/Italia,2026-08-27 18:02:53
FR 2735,D,LONDON STANSTED,18:00,18:50,IMBARCO IN CORSO,Estero/Italia,2026-08-27 18:02:53
FR 2876,D,BRINDISI,18:10,18:10,IMBARCO CHIUSO,Estero/Italia,2026-08-27 18:02:53
XZ 2223,D,FOGGIA,18:10,18:10,IMBARCO CHIUSO,Estero/Italia,2026-08-27 18:02:53
FR 3440,D,LAMEZIA,18:15,19:23,IN RITARDO,Estero/Italia,2026-08-27 18:02:53
FR 8511,D,BENI MELLAL,18:20,18:20,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-27 18:02:53
FR 3593,D,POZNAN,18:20,18:20,IMBARCO IN CORSO,Estero/Italia,2026-08-27 18:02:53
FR 6175,D,CATANIA,18:40,18:40,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 3210,D,SANTORINI / THIRA,18:45,19:23,IN RITARDO,Estero/Italia,2026-08-27 18:02:53
FR 4698,D,TRAPANI,19:00,19:00,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 18:02:53
FR 3280,D,GDANSK - DANZICA,19:00,19:00,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 18:02:53
V7 1316,D,OLBIA,19:25,19:25,Operativo,Estero/Italia,2026-08-27 18:02:53
BZ 151,D,TEL AVIV,19:25,21:31,IN RITARDO,Estero/Italia,2026-08-27 18:02:53
FR 4845,D,DUBLIN,19:25,19:25,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 3535,D,KRAKOW,19:25,19:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 18:02:53
FR 5120,D,MADRID,19:30,19:30,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 8801,D,IBIZA,19:30,19:30,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 413,D,THESSALONIKI,19:55,19:55,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 18:02:53
FR 3645,D,EDINBURGH,20:00,20:00,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 3300,D,VITORIA,20:00,20:00,Operativo,Estero/Italia,2026-08-27 18:02:53
D8 2941,D,HELSINKI,20:15,20:15,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 3501,D,PARIS BEAUVAIS,20:25,20:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 18:02:53
FR 7361,D,VIENNA,20:30,20:30,OPERATO DA LAUDA EUROPE,Estero/Italia,2026-08-27 18:02:53
W4 3470,D,TIRGU MURES,20:35,22:05,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-27 18:02:53
FR 2739,D,LONDON STANSTED,20:35,20:35,Operativo,Estero/Italia,2026-08-27 18:02:53
W6 1434,D,WARSAW,20:40,20:40,OPERATO DA WIZZAIR MALTA,Estero/Italia,2026-08-27 18:02:53
FR 3219,D,MANCHESTER,20:45,20:45,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 4969,D,PALERMO,20:50,20:50,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 3665,D,NAPOLI,21:05,22:00,IN RITARDO,Estero/Italia,2026-08-27 18:02:53
FR 8844,D,WROCLAW - BRESLAVIA,21:10,21:10,Operativo,Estero/Italia,2026-08-27 18:02:53
DY 1847,D,OSLO,21:15,21:15,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 3893,D,CAGLIARI,21:15,21:15,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 18:02:53
FR 4523,D,BRUXELLES CHARLEROI,21:20,21:20,Operativo,Estero/Italia,2026-08-27 18:02:53
FR 859,D,BRINDISI,21:20,21:20,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 18:02:53
