callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 2830,D,TENERIFE,11:30,11:51,DECOLLATO,2026-09-14 12:00:21
FR 2649,D,MALAGA,11:35,11:57,IMBARCO CHIUSO,2026-09-14 12:00:21
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,2026-09-14 12:00:21
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,2026-09-14 12:00:21
FR 2878,D,STOCKHOLM,12:15,12:15,IMBARCO ULTIMA CHIAMATA,2026-09-14 12:00:21
FR 3480,D,CAGLIARI,12:15,12:50,IN RITARDO,2026-09-14 12:00:21
E5 543,D,CAIRO,12:20,12:39,IN RITARDO,2026-09-14 12:00:21
FR 076,D,SEVILLA,12:25,12:25,IMBARCO IN CORSO,2026-09-14 12:00:21
FR 5120,D,MADRID,12:35,12:35,Operativo,2026-09-14 12:00:21
FR 461,D,NEWCASTLE,12:35,12:35,IMBARCO IN CORSO,2026-09-14 12:00:21
FR 4037,D,DUBLIN,12:40,12:40,IMBARCO IN CORSO,2026-09-14 12:00:21
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,2026-09-14 12:00:21
FR 3593,D,POZNAN,12:45,12:45,OPERATO DA BUZZ,2026-09-14 12:00:21
C3 397,D,MARRAKECH,13:00,13:00,Operativo,2026-09-14 12:00:21
FR 5139,D,FARO,13:05,13:05,Operativo,2026-09-14 12:00:21
G9 794,D,SHARJAH,13:20,13:20,Operativo,2026-09-14 12:00:21
FR 847,D,BARCELONA EL PRAT,13:35,13:35,Operativo,2026-09-14 12:00:21
FR 2669,D,BERLIN,13:40,13:40,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FZ 1574,D,DUBAI,13:40,13:40,Operativo,2026-09-14 12:00:21
EK 2141,D,DUBAI,13:40,13:40,Operativo,2026-09-14 12:00:21
FR 1533,D,VIENNA,13:55,14:55,IN RITARDO,2026-09-14 12:00:21
V7 1316,D,OLBIA,14:05,14:05,Operativo,2026-09-14 12:00:21
FR 3112,D,IASI,14:05,14:05,Operativo,2026-09-14 12:00:21
FR 4132,D,BARI,14:10,14:10,Operativo,2026-09-14 12:00:21
FR 2888,D,CATANIA,14:15,14:15,Operativo,2026-09-14 12:00:21
FR 3448,D,BRINDISI,14:30,14:30,Operativo,2026-09-14 12:00:21
FR 3665,D,NAPOLI,14:40,14:40,Operativo,2026-09-14 12:00:21
FR 3398,D,MALAGA,14:40,14:40,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 2289,D,PALERMO,14:55,14:55,Operativo,2026-09-14 12:00:21
FR 3396,D,CROTONE,14:55,14:55,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 4631,D,VALENCIA,15:10,15:10,Operativo,2026-09-14 12:00:21
W4 3772,D,CRAIOVA,15:20,15:20,Operativo,2026-09-14 12:00:21
FR 8479,D,TIRANA,15:30,15:30,Operativo,2026-09-14 12:00:21
FR 1536,D,CASTELLON DE LA PLANA,15:30,15:30,Operativo,2026-09-14 12:00:21
FR 6703,D,SKIATHOS,15:40,15:40,Operativo,2026-09-14 12:00:21
W4 5018,D,TIRANA,15:45,15:45,OPERATO DA WIZZAIR HUNGARY,2026-09-14 12:00:21
FR 3673,D,LONDON STANSTED,15:50,15:50,Operativo,2026-09-14 12:00:21
FR 845,D,CLUJ-NAPOCA,15:50,15:50,Operativo,2026-09-14 12:00:21
FR 8844,D,WROCLAW - BRESLAVIA,15:55,15:55,OPERATO DA MALTA AIR,2026-09-14 12:00:21
V7 2211,D,NANTES,16:00,16:00,Operativo,2026-09-14 12:00:21
FR 7324,D,MALTA,16:10,16:10,Operativo,2026-09-14 12:00:21
FR 3217,D,MANCHESTER,16:20,16:20,Operativo,2026-09-14 12:00:21
FR 2858,D,BRINDISI,16:25,16:25,Operativo,2026-09-14 12:00:21
FR 8801,D,IBIZA,16:40,16:40,Operativo,2026-09-14 12:00:21
FR 5655,D,PALMA DE MALLORCA,16:50,16:50,Operativo,2026-09-14 12:00:21
FR 2990,D,COPENHAGEN,16:55,16:55,Operativo,2026-09-14 12:00:21
FR 4714,D,RIGA,16:55,16:55,Operativo,2026-09-14 12:00:21
FR 5102,D,BIRMINGHAM,16:55,16:55,Operativo,2026-09-14 12:00:21
FR 3408,D,KATOWICE,17:10,17:10,OPERATO DA BUZZ,2026-09-14 12:00:21
PC 1214,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-14 12:00:21
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-14 12:00:21
FR 3962,D,MARRAKECH,17:25,17:25,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 3545,D,FEZ,17:45,17:45,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 5148,D,ZADAR,17:50,17:50,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 2872,D,VILNIUS,17:55,17:55,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 3528,D,PRAGUE,17:55,17:55,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 3440,D,LAMEZIA,18:00,18:00,OPERATO DA MALTA AIR,2026-09-14 12:00:21
FR 9196,D,TRAPANI,18:05,18:05,Operativo,2026-09-14 12:00:21
FR 3400,D,SOFIA,18:05,18:05,OPERATO DA BUZZ,2026-09-14 12:00:21
FR 410,D,LUXEMBOURG,18:20,18:20,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-14 12:00:21
