callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp,volo,compagnia_aerea,stato_destinazione,minuti_ritardo,stato_ritardo
FR 5092,Decollo (D),LAMEZIA,20:50,00:40,IMBARCO CHIUSO,2026-09-10 00:41:54,FR 5092,Ryanair,Italia,230,Ritardo (+230 min)
FR 4969,Decollo (D),PALERMO,21:25,00:35,DECOLLATO,2026-09-10 00:41:54,FR 4969,Ryanair,Italia,190,Ritardo (+190 min)
FR 3219,Decollo (D),MANCHESTER,21:30,02:01,IN RITARDO,2026-09-10 00:41:54,FR 3219,Ryanair,Regno Unito,-1169,In Anticipo (-1169 min)
FR 7324,Decollo (D),MALTA,21:35,02:18,IN RITARDO,2026-09-10 00:41:54,FR 7324,Ryanair,Malta,-1157,In Anticipo (-1157 min)
FR 2293,Decollo (D),PESCARA,22:25,00:23,DECOLLATO,2026-09-10 00:41:54,FR 2293,Ryanair,Estero/Italia,118,Ritardo (+118 min)
FR 7361,Decollo (D),VIENNA,22:25,01:05,IMBARCO CHIUSO,2026-09-10 00:41:54,FR 7361,Ryanair,Austria,160,Ritardo (+160 min)
FR 4188,Decollo (D),LONDON STANSTED,22:40,00:37,DECOLLATO,2026-09-10 00:41:54,FR 4188,Ryanair,Regno Unito,117,Ritardo (+117 min)
FR 5148,Decollo (D),ZADAR,22:45,00:35,DECOLLATO,2026-09-10 00:41:54,FR 5148,Ryanair,Croazia,110,Ritardo (+110 min)
FR 6846,Decollo (D),LIVERPOOL,23:40,01:07,IMBARCO IN C,2026-09-10 00:41:54,FR 6846,Ryanair,Regno Unito,87,Ritardo (+87 min)
3O 454,Decollo (D),CASABLANCA,01:05,01:32,IN RITARDO,2026-09-10 00:41:54,3O 454,Air Arabia Maroc,Marocco,27,Ritardo (+27 min)
NO 2474,Decollo (D),DAKAR,02:10,02:10,Operativo,2026-09-10 00:41:54,NO 2474,Compagnia NO ,Estero/Italia,0,In Orario
FR 3432,Decollo (D),PARIS BEAUVAIS,05:45,05:45,Operativo,2026-09-10 00:41:54,FR 3432,Ryanair,Francia,0,In Orario
