callsign,tipo_movimento,is_scheduled,destinazione_finale,compagnia_aerea,modello_aereo,orario_schedulato,timestamp,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,matched_score
,D,True,LIVERPOOL,N/D,N/D,23:40,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,CASABLANCA,N/D,N/D,01:05,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,DAKAR,N/D,N/D,02:10,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,PARIS BEAUVAIS,N/D,N/D,05:45,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,PRAGUE,N/D,N/D,05:45,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,ALICANTE,N/D,N/D,05:45,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,CATANIA,N/D,N/D,05:50,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,CAGLIARI,N/D,N/D,05:50,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,TENERIFE,N/D,N/D,05:50,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,PALMA DE MALLORCA,N/D,N/D,05:55,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,CAIRO,N/D,N/D,23:15,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,KATOWICE,N/D,N/D,23:25,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,BELGRADE,N/D,N/D,23:35,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,CASABLANCA,N/D,N/D,01:00,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,POZNAN,N/D,N/D,05:45,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,NAPOLI,N/D,N/D,05:45,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,LONDON STANSTED,N/D,N/D,05:45,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,FARO,N/D,N/D,05:50,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
,D,True,BARI,N/D,N/D,05:50,,N/D,Non rilevato,N/D,0,0.0,0.0,N/D,0
WZZ311,Cargo/Non Schedulato,False,Malta,Wizz Air,Airbus A320-200,,2026-09-10 00:41:18,N/D,Sorvolo,N/D,6873,68.29,14.81,Malta,0
AEE5IN,Cargo/Non Schedulato,False,Greece,Compagnia AEE,N/D,,2026-09-10 23:01:20,N/D,Transito,N/D,6202,107.66,20.68,Greece,0
FIN7052,Cargo/Non Schedulato,False,Finland,Compagnia FIN,N/D,,2026-09-10 23:01:20,RWY 10,Avvicinamento,Ovest -> Est,3558,70.52,5.81,Finland,0
RYR9Z,Cargo/Non Schedulato,False,Poland,Ryanair,Boeing 737-800,,2026-09-10 23:01:20,N/D,Sorvolo,N/D,845,284.83,13.67,Poland,0
